Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,02KXY,7104_GC7Y,M4-04,VO14X0.5(B)-FALP,With Slit,215,100,3
3,21429,7104_GC7Y,H5-06,VO22X0.6(B),With Slit,520,50,3
3,02KXU,7104_GC7Y,J3-28,VO6X0.5(B)-FALP,With Slit,95,100,3
3,02KXY,7104_GC7Y,M5-22,VO14X0.5(B)-FALP,With Slit,125,100,3
3,01LV4,7104_GC7Y,O3-65,VS70FP,,330,100,3
3,01LUR,7104_GC7Y,I5-12,NCOT10-FALP,,515,100,3
3,02KXU,7104_GC7Y,J3-31,VO6X0.5(B)-FALP,With Slit,115,100,3
3,02KXV,7104_GC7Y,K3-20,VO8X0.5(B)-FALP,With Slit,115,100,3
3,02KXU,7104_GC7Y,J3-24,VO6X0.5(B)-FALP,With Slit,75,100,3
3,01LV4,7104_GC7Y,O3-45,VS70FP,,90,100,3
3,02KXU,7104_GC7Y,J3-20,VO6X0.5(B)-FALP,With Slit,55,100,3
3,02KYE,7104_GC7Y,N3-21,VO26X1(B)-FALP,With Slit,260,50,3
3,21430,7104_GC7Y,H5-11,VO24X0.6(B),With Slit,260,50,3
3,01LUT,7104_GC7Y,H3-02,NCOT5-FALP,,85,100,3
3,01LUT,7104_GC7Y,H3-07,NCOT5-FALP,,80,100,3
3,01LUT,7104_GC7Y,H3-12,NCOT5-FALP,,110,100,3
3,02KY0,7104_GC7Y,M3-09,VO16X0.6(B)-FALP,With Slit,85,100,3
3,02KXU,7104_GC7Y,J3-21,VO6X0.5(B)-FALP,With Slit,60,100,3
3,21430,7104_GC7Y,H5-12,VO24X0.6(B),With Slit,330,50,3
3,02KYE,7104_GC7Y,N3-22,VO26X1(B)-FALP,With Slit,330,50,3
3,02KY1,7104_GC7Y,M6-27,VO18X0.6(B)-FALP,With Slit,370,50,3
3,02KXU,7104_GC7Y,J3-42,VO6X0.5(B)-FALP,With Slit,170,100,3
3,02KY1,7104_GC7Y,M1-07,VO18X0.6(B)-FALP,With Slit,85,100,3
3,01LUR,7104_GC7Y,I5-10,NCOT10-FALP,,260,100,3
3,02KXW,7104_GC7Y,L4-04,VO10X0.5(B)-FALP,With Slit,155,100,3
3,02KY2,7104_GC7Y,N2-20,VO20X0.6(B)-FALP,With Slit,205,100,3
3,02KXU,7104_GC7Y,J2-31,VO6X0.5(B)-FALP,With Slit,320,100,3
3,01MNP,7104_GC7Y,H1-35,NCOT7-FALP,,240,100,3
3,01MNP,7104_GC7Y,H1-12,NCOT7-FALP,,115,100,3
3,01LUT,7104_GC7Y,H3-22,NCOT5-FALP,,190,100,3
3,02KXU,7104_GC7Y,J2-01,VO6X0.5(B)-FALP,With Slit,175,100,3
3,02KXU,7104_GC7Y,J4-01,VO6X0.5(B)-FALP,,220,100,3
3,02KY1,7104_GC7Y,M1-17,VO18X0.6(B)-FALP,With Slit,205,100,3
3,01MNP,7104_GC7Y,H1-41,NCOT7-FALP,,315,100,3
3,02KXU,7104_GC7Y,J3-42,VO6X0.5(B)-FALP,With Slit,170,100,3
3,02KYE,7104_GC7Y,N3-20,VO26X1(B)-FALP,With Slit,360,50,3
3,21430,7104_GC7Y,H5-13,VO24X0.6(B),With Slit,360,100,3
3,02KXU,7104_GC7Y,J3-25,VO6X0.5(B)-FALP,With Slit,80,100,3
3,02KXV,7104_GC7Y,K3-14,VO8X0.5(B)-FALP,With Slit,80,100,3
3,02KXW,7104_GC7Y,L5-21,VO10X0.5(B)-FALP,With Slit,80,100,3
3,02KY0,7104_GC7Y,M2-29,VO16X0.6(B)-FALP,With Slit,365,100,3
3,01LUT,7104_GC7Y,H5-18,NCOT5-FALP,,255,100,3
3,02KY1,7104_GC7Y,M6-26,VO18X0.6(B)-FALP,With Slit,365,100,3
3,02KY2,7104_GC7Y,N2-19,VO20X0.6(B)-FALP,With Slit,85,100,3
