Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,02KXW,7104_GC7Y,L5-24,VO10X0.5(B)-FALP,With Slit,95,100,3
3,02KXU,7104_GC7Y,J3-26,VO6X0.5(B)-FALP,With Slit,85,100,3
3,02KY1,7104_GC7Y,M6-28,VO18X0.6(B)-FALP,With Slit,465,100,3
3,02KXX,7104_GC7Y,L1-25,VO12X0.5(B)-FALP,With Slit,465,100,3
3,02KXV,7104_GC7Y,K4-20,VO8X0.5(B)-FALP,With Slit,355,100,3
3,02KY2,7104_GC7Y,N2-22,VO20X0.6(B)-FALP,With Slit,370,100,3
3,02KY0,7104_GC7Y,M2-05,VO16X0.6(B)-FALP,With Slit,180,100,3
3,02KXW,7104_GC7Y,L5-28,VO10X0.5(B)-FALP,With Slit,115,100,3
3,02KXV,7104_GC7Y,K3-15,VO8X0.5(B)-FALP,With Slit,85,100,3
3,02KXV,7104_GC7Y,K3-17,VO8X0.5(B)-FALP,With Slit,95,100,3
3,02KXV,7104_GC7Y,K4-25,VO8X0.5(B)-FALP,With Slit,105,100,3
3,02KXW,7104_GC7Y,L4-13,VO10X0.5(B)-FALP,With Slit,190,100,3
3,02KXV,7104_GC7Y,K3-36,VO8X0.5(B)-FALP,With Slit,190,100,3
3,02KXU,7104_GC7Y,J2-04,VO6X0.5(B)-FALP,With Slit,190,100,3
3,02KXW,7104_GC7Y,L6-12,VO10X0.5(B)-FALP,With Slit,530,100,3
3,02KXV,7104_GC7Y,K4-23,VO8X0.5(B)-FALP,With Slit,530,100,3
3,02KXX,7104_GC7Y,L2-31,VO12X0.5(B)-FALP,With Slit,190,100,3
3,02KXV,7104_GC7Y,K3-19,VO8X0.5(B)-FALP,With Slit,110,100,3
3,02KXU,7104_GC7Y,J3-37,VO6X0.5(B)-FALP,With Slit,145,100,3
3,02KXV,7104_GC7Y,K3-14,VO8X0.5(B)-FALP,With Slit,80,100,3
3,01LUT,7104_GC7Y,H3-21,NCOT5-FALP,,205,100,3
3,02KXU,7104_GC7Y,J3-29,VO6X0.5(B)-FALP,With Slit,100,100,3
3,01LUR,7104_GC7Y,I3-05,NCOT10-FALP,,435,100,3
3,02KXX,7104_GC7Y,L1-26,VO12X0.5(B)-FALP,With Slit,530,100,3
3,01LUR,7104_GC7Y,I5-11,NCOT10-FALP,,315,100,3
3,02KXU,7104_GC7Y,J2-34,VO6X0.5(B)-FALP,With Slit,730,100,3
3,02KXV,7104_GC7Y,K4-26,VO8X0.5(B)-FALP,With Slit,730,100,3
3,02KXX,7104_GC7Y,L1-27,VO12X0.5(B)-FALP,With Slit,390,100,3
3,01LUT,7104_GC7Y,H3-09,NCOT5-FALP,,70,100,3
3,02KXU,7104_GC7Y,J5-13,VO6X0.5(B)-FALP,,95,100,3
3,02KXW,7104_GC7Y,L6-13,VO10X0.5(B)-FALP,With Slit,730,100,3
3,02KXV,7104_GC7Y,K1-20,VO8X0.5(B)-FALP,,185,100,3
3,02KXU,7104_GC7Y,J5-31,VO6X0.5(B)-FALP,,145,100,3
3,02KXU,7104_GC7Y,J3-40,VO6X0.5(B)-FALP,With Slit,160,100,3
3,02KXU,7104_GC7Y,J3-39,VO6X0.5(B)-FALP,With Slit,155,100,3
3,01MNP,7104_GC7Y,H1-13,NCOT7-FALP,,90,100,3
3,01LV4,7104_GC7Y,O3-62,VS70FP,,120,100,3
3,01LV4,7104_GC7Y,O3-44,VS70FP,,50,100,3
3,02KXU,7104_GC7Y,J5-08,VO6X0.5(B)-FALP,,70,100,3
3,02KYR,7104_GC7Y,N3-23,VO28X1(B)-FALP,With Slit,260,50,3
3,02KY2,7104_GC7Y,N2-11,VO20X0.6(B)-FALP,With Slit,165,100,3
3,01MNP,7104_GC7Y,H1-21,NCOT7-FALP,,135,100,3
3,01LUU,7104_GC7Y,O3-59,VS100FP,,80,100,3
3,01LUT,7104_GC7Y,H3-41,NCOT5-FALP,,420,100,3
3,02KY0,7104_GC7Y,M2-01,VO16X0.6(B)-FALP,With Slit,250,100,3
3,01LUT,7104_GC7Y,H5-16,NCOT5-FALP,,1030,100,3
3,02KXW,7104_GC7Y,L5-20,VO10X0.5(B)-FALP,With Slit,130,100,3
3,01MNP,7104_GC7Y,I1-17,NCOT7-FALP,,590,100,3
3,01MNP,7104_GC7Y,H1-14,NCOT7-FALP,,105,100,3
3,02KXX,7104_GC7Y,L2-01,VO12X0.5(B)-FALP,With Slit,400,100,3
3,02KXU,7104_GC7Y,J3-35,VO6X0.5(B)-FALP,With Slit,135,100,3
3,01LUR,7104_GC7Y,I5-08,NCOT10-FALP,,105,100,3
3,21430,7104_GC7Y,H5-14,VO24X0.6(B),With Slit,520,50,3
3,02KXY,7104_GC7Y,M4-19,VO14X0.5(B)-FALP,With Slit,250,100,3
3,02KXX,7104_GC7Y,L2-21,VO12X0.5(B)-FALP,With Slit,125,100,3
3,02KXW,7104_GC7Y,L6-07,VO10X0.5(B)-FALP,With Slit,390,100,3
3,02KXU,7104_GC7Y,J3-31,VO6X0.5(B)-FALP,With Slit,115,100,3
3,02KY1,7104_GC7Y,M1-25,VO18X0.6(B)-FALP,With Slit,180,100,3
3,02KXV,7104_GC7Y,K3-20,VO8X0.5(B)-FALP,With Slit,115,100,3
3,02KXY,7104_GC7Y,M4-16,VO14X0.5(B)-FALP,With Slit,370,100,3
3,02KXU,7104_GC7Y,J3-24,VO6X0.5(B)-FALP,With Slit,75,100,3
3,02KXU,7104_GC7Y,J3-17,VO6X0.5(B)-FALP,With Slit,40,100,3
3,02KXU,7104_GC7Y,J3-24,VO6X0.5(B)-FALP,With Slit,75,100,3
3,02KXY,7104_GC7Y,M4-25,VO14X0.5(B)-FALP,With Slit,365,100,3
3,02KXX,7104_GC7Y,L1-08,VO12X0.5(B)-FALP,With Slit,370,100,3
3,02KY2,7104_GC7Y,N2-21,VO20X0.6(B)-FALP,With Slit,365,100,3
3,02KY1,7104_GC7Y,M6-25,VO18X0.6(B)-FALP,With Slit,310,100,3
3,02KY1,7104_GC7Y,M1-13,VO18X0.6(B)-FALP,With Slit,135,100,3
3,02KY2,7104_GC7Y,N2-10,VO20X0.6(B)-FALP,With Slit,135,100,3
3,01LV4,7104_GC7Y,O3-46,VS70FP,,140,100,3
3,01LUU,7104_GC7Y,O3-69,VS100FP,,140,100,3
3,21429,7104_GC7Y,H5-01,VO22X0.6(B),With Slit,85,100,3
