Serial No,Kanban Read,Parts Code,Line No,Stock Address,Parts Name,Comment,Length(mm),Quantity,Production Location
SN-7d27801MNP7d87f,TC-NCOT7-FALP_100_7101_100_01MNP_H1-11_3_200907100522,01MNP,7101,H1-11,NCOT7-FALP,,100,100,
SN-fdc4701MNP7b10a,TC-NCOT7-FALP_110_7101_100_01MNP_H1-17_1_200907100522,01MNP,7101,H1-17,NCOT7-FALP,,110,100,
SN-ee96b01MNP8a31b,TC-NCOT7-FALP_110_7101_100_01MNP_H1-17_2_200907100522,01MNP,7101,H1-17,NCOT7-FALP,,110,100,
SN-8fe4401MNP21a49,TC-NCOT7-FALP_130_7101_100_01MNP_H1-18_1_200907100522,01MNP,7101,H1-18,NCOT7-FALP,,130,100,
SN-86fa401MNP6f27c,TC-NCOT7-FALP_130_7101_100_01MNP_H1-18_2_200907100522,01MNP,7101,H1-18,NCOT7-FALP,,130,100,
SN-5cc2101MNP7542a,TC-NCOT7-FALP_240_7101_100_01MNP_H1-35_1_200907100522,01MNP,7101,H1-35,NCOT7-FALP,,240,100,
SN-f89a001MNP59693,TC-NCOT7-FALP_240_7101_100_01MNP_H1-35_2_200907100522,01MNP,7101,H1-35,NCOT7-FALP,,240,100,
SN-04a9d01MNP83771,TC-NCOT7-FALP_315_7101_100_01MNP_H1-41_1_200907100522,01MNP,7101,H1-41,NCOT7-FALP,,315,100,
SN-7329001MNP3cf28,TC-NCOT7-FALP_315_7101_100_01MNP_H1-41_2_200907100523,01MNP,7101,H1-41,NCOT7-FALP,,315,100,
SN-00a4701MNP77196,TC-NCOT7-FALP_370_7101_100_01MNP_I1-03_1_200907100523,01MNP,7101,I1-03,NCOT7-FALP,,370,100,
SN-dafa701MNP160ee,TC-NCOT7-FALP_370_7101_100_01MNP_I1-03_2_200907100523,01MNP,7101,I1-03,NCOT7-FALP,,370,100,
SN-fc77a01MNP8f1f0,TC-NCOT7-FALP_590_7101_100_01MNP_I1-17_1_200907100523,01MNP,7101,I1-17,NCOT7-FALP,,590,100,
SN-c7ecf01MNP2e511,TC-NCOT7-FALP_590_7101_100_01MNP_I1-17_2_200907100523,01MNP,7101,I1-17,NCOT7-FALP,,590,100,
SN-e10160731956e6e,TC-VO10X0.5(B)_45_7101_100_07319_G4-02_1_200907100523,7319,7101,G4-02,VO10X0.5(B),WITH SLIT,45,100,
SN-798ac073192508a,TC-VO10X0.5(B)_45_7101_100_07319_G4-02_2_200907100523,7319,7101,G4-02,VO10X0.5(B),WITH SLIT,45,100,
SN-e06c00731965129,TC-VO10X0.5(B)_90_7101_100_07319_G4-05_1_200907100523,7319,7101,G4-05,VO10X0.5(B),WITH SLIT,90,100,
SN-0ffc707319eec86,TC-VO10X0.5(B)_90_7101_100_07319_G4-05_2_200907100523,7319,7101,G4-05,VO10X0.5(B),WITH SLIT,90,100,
SN-a018407319d4935,TC-VO10X0.5(B)_95_7101_100_07319_G4-06_1_200907100523,7319,7101,G4-06,VO10X0.5(B),WITH SLIT,95,100,
SN-4247607319e1392,TC-VO10X0.5(B)_95_7101_100_07319_G4-06_2_200907100523,7319,7101,G4-06,VO10X0.5(B),WITH SLIT,95,100,
SN-c880007319d22cb,TC-VO10X0.5(B)_130_7101_100_07319_G4-09_1_200907100524,7319,7101,G4-09,VO10X0.5(B),WITH SLIT,130,100,
SN-43200073194f76a,TC-VO10X0.5(B)_130_7101_100_07319_G4-09_2_200907100524,7319,7101,G4-09,VO10X0.5(B),WITH SLIT,130,100,
SN-c3d2207319fce34,TC-VO10X0.5(B)_150_7101_100_07319_G4-11_1_200907100524,7319,7101,G4-11,VO10X0.5(B),WITH SLIT,150,100,
SN-61d2a0731994fee,TC-VO10X0.5(B)_150_7101_100_07319_G4-11_2_200907100524,7319,7101,G4-11,VO10X0.5(B),WITH SLIT,150,100,
SN-db09607319df22c,TC-VO10X0.5(B)_220_7101_100_07319_G4-13_1_200907100524,7319,7101,G4-13,VO10X0.5(B),WITH SLIT,220,100,
SN-e874607319ece51,TC-VO10X0.5(B)_220_7101_100_07319_G4-13_2_200907100524,7319,7101,G4-13,VO10X0.5(B),WITH SLIT,220,100,
SN-a69ac07319c1905,TC-VO10X0.5(B)_255_7101_100_07319_G4-15_1_200907100524,7319,7101,G4-15,VO10X0.5(B),WITH SLIT,255,100,
SN-0239307319cc387,TC-VO10X0.5(B)_255_7101_100_07319_G4-15_2_200907100524,7319,7101,G4-15,VO10X0.5(B),WITH SLIT,255,100,
SN-aa7d7073194c902,TC-VO10X0.5(B)_280_7101_100_07319_G4-16_1_200907100524,7319,7101,G4-16,VO10X0.5(B),WITH SLIT,280,100,
SN-acbc60731966708,TC-VO10X0.5(B)_280_7101_100_07319_G4-16_2_200907100525,7319,7101,G4-16,VO10X0.5(B),WITH SLIT,280,100,
SN-0c2d4073193ad17,TC-VO10X0.5(B)_330_7101_100_07319_G4-18_1_200907100525,7319,7101,G4-18,VO10X0.5(B),WITH SLIT,330,100,
SN-04e7d0731963850,TC-VO10X0.5(B)_330_7101_100_07319_G4-18_2_200907100525,7319,7101,G4-18,VO10X0.5(B),WITH SLIT,330,100,
SN-ca7a907319b53f2,TC-VO10X0.5(B)_340_7101_100_07319_G4-19_1_200907100525,7319,7101,G4-19,VO10X0.5(B),WITH SLIT,340,100,
SN-3deb6073196fa55,TC-VO10X0.5(B)_340_7101_100_07319_G4-19_2_200907100525,7319,7101,G4-19,VO10X0.5(B),WITH SLIT,340,100,
SN-f6120073192420c,TC-VO10X0.5(B)_365_7101_100_07319_G4-20_1_200907100525,7319,7101,G4-20,VO10X0.5(B),WITH SLIT,365,100,
SN-a6af3073194850f,TC-VO10X0.5(B)_365_7101_100_07319_G4-20_2_200907100525,7319,7101,G4-20,VO10X0.5(B),WITH SLIT,365,100,
