Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,23270,3133,F4-32,HCOT5(GR),,690,100,2
3,23270,3133,F4-30,HCOT5(GR),,680,100,2
3,23270,3133,F4-33,HCOT5(GR),,420,100,2
3,01PFH,3133,D6-17,RCOT10-FALP,,1130,100,2
3,01PFH,3133,A2-16,RCOT10-FALP,,120,100,2
3,01PFH,3133,A2-21,RCOT10-FALP,,145,100,2
3,01PFH,3133,A2-27,RCOT10-FALP,,180,100,2
3,01PFH,3133,A2-29,RCOT10-FALP,,190,100,2
3,01PFH,3133,E4-02,RCOT10-FALP,,265,100,2
3,01PFH,3133,A1-03,RCOT10-FALP,,280,100,2
3,01PFH,3133,A2-03,RCOT10-FALP,,50,100,2
3,01PFH,3133,E4-04,RCOT10-FALP,,500,100,2
3,01PFH,3133,A2-06,RCOT10-FALP,,70,100,2
3,01PFH,3133,B2-03,RCOT10-FALP,,730,100,2
3,01PFH,3133,B1-08,RCOT10-FALP,,775,100,2
3,01PFH,3133,A2-08,RCOT10-FALP,,80,100,2
3,01PFH,3133,B1-11,RCOT10-FALP,,845,100,2
3,01PFI,3133,C5-16,RCOT13-FALP,,255,100,2
3,01PFI,3133,E6-05,RCOT13-FALP,,555,100,2
3,01PFI,3133,E6-04,RCOT13-FALP,,535,100,2
3,01PFI,3133,C5-18,RCOT13-FALP,,430,100,2
3,01PFI,3133,C5-10,RCOT13-FALP,,65,100,2
3,01PFI,3133,C5-17,RCOT13-FALP,,445,100,2
3,01PFI,3133,C5-15,RCOT13-FALP,,125,100,2
3,01PFI,3133,C6-09,RCOT13-FALP,,135,100,2
3,01PFJ,3133,B5-19,RCOT15-FALP,,210,100,2
3,01PFJ,3133,E2-06,RCOT15-FALP,,155,100,2
3,01PFJ,3133,E2-10,RCOT15-FALP,,360,100,2
3,01PFJ,3133,Temp Location,RCOT15-FALP,,200,100,2
3,01S73,3133,E3-14,RCOT17-FALP,,555,100,2
3,01PFK,3133,C2-18,RCOT19-FALP,,365,100,2
3,01PFL,3133,D2-09,RCOT22-FALP,,555,100,2
3,01PFL,3133,Temp Location,RCOT22-FALP,,200,100,2
3,01PFL,3133,D2-08,RCOT22-FALP,,235,100,2
3,01PFP,3133,A5-03,RCOT5-FALP,,110,100,2
3,01PFP,3133,E5-09,RCOT5-FALP,,1140,100,2
3,01PFP,3133,A5-04,RCOT5-FALP,,115,100,2
3,01PFP,3133,E5-17,RCOT5-FALP,,1250,100,2
3,01PFP,3133,A5-09,RCOT5-FALP,,140,100,2
3,01PFP,3133,A5-10,RCOT5-FALP,,145,100,2
3,01PFP,3133,A5-14,RCOT5-FALP,,165,100,2
3,01PFP,3133,A5-17,RCOT5-FALP,,180,100,2
3,01PFP,3133,A5-21,RCOT5-FALP,,200,100,2
3,01PFP,3133,A5-23,RCOT5-FALP,,210,100,2
3,01PFP,3133,A5-27,RCOT5-FALP,,230,100,2
3,01PFP,3133,A5-39,RCOT5-FALP,,290,100,2
3,01PFP,3133,A6-04,RCOT5-FALP,,55,100,2
3,01PFP,3133,A6-05,RCOT5-FALP,,60,100,2
3,01PFP,3133,E5-11,RCOT5-FALP,,625,100,2
3,01PFP,3133,E5-12,RCOT5-FALP,,635,100,2
3,01PFP,3133,A6-06,RCOT5-FALP,,65,100,2
3,01PFP,3133,E5-20,RCOT5-FALP,,745,100,2
3,01PFP,3133,A6-11,RCOT5-FALP,,90,100,2
3,01PFP,3133,E5-20,RCOT5-FALP,,930,100,2
3,01PFQ,3133,E1-05,RCOT7-FALP,,120,100,2
3,01PFQ,3133,E1-10,RCOT7-FALP,,145,100,2
3,01PFQ,3133,E1-12,RCOT7-FALP,,155,100,2
3,01PFQ,3133,E1-25,RCOT7-FALP,,220,100,2
3,01PFQ,3133,E1-33,RCOT7-FALP,,260,100,2
3,01PFQ,3133,F1-21,RCOT7-FALP,,340,100,2
3,01PFQ,3133,F1-04,RCOT7-FALP,,60,100,2
3,01PFQ,3133,F1-10,RCOT7-FALP,,90,100,2
3,01PFQ,3133,F1-11,RCOT7-FALP,,95,100,2
3,7319,3133,G3-29,VO10X0.5(B),,70,100,2
3,7319,3133,F6-21,VO8X0.5(B),,50,100,2
3,01PFP,3037,A6-03,RCOT5-FALP,,50,100,2
3,01PFP,3037,A5-27,RCOT5-FALP,,230,100,2
3,01PFP,3037,A4-06,RCOT5-FALP,,325,100,2
3,01PFP,3037,A4-27,RCOT5-FALP,,430,100,2
3,01PFP,3037,Temp Location,RCOT5-FALP,,555,100,2
3,7161,3037,J5-08,VO6X0.5(B),With Slit,70,100,2
3,7161,3037,J5-13,VO6X0.5(B),With Slit,95,100,2
