Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,01PFP,Honda T20 Initial,A4-32,RCOT5-FALP,,455,100,2
3,01PFP,Honda T20 Initial,A6-10,RCOT5-FALP,,85,100,2
3,01PFP,Honda T20 Initial,A5-11,RCOT5-FALP,,50,100,2
3,01PFP,Honda T20 Initial,A5-05,RCOT5-FALP,,120,100,2
3,01PFP,Honda T20 Initial,A6-08,RCOT5-FALP,,75,100,2
3,01PFH,Honda T20 Initial,B1-08,RCOT10-FALP,,775,100,2
3,01PFH,Honda T20 Initial,C2-18,RCOT10-FALP,,500,100,2
3,01PFQ,Honda T20 Initial,E1-17,RCOT7-FALP,,80,100,2
